key,value,date
economia-desde-cero,278,2016-10-01
atlantico-sur,0,2013-05-01
atlantico-sur,0,2013-06-01
atlantico-sur,0,2013-07-01
atlantico-sur,0,2013-08-01
atlantico-sur,0,2013-09-01
atlantico-sur,0,2013-10-01
atlantico-sur,0,2013-11-01
atlantico-sur,0,2013-12-01
atlantico-sur,0,2014-01-01
atlantico-sur,0,2014-02-01
atlantico-sur,0,2014-03-01
atlantico-sur,0,2014-04-01
atlantico-sur,0,2014-05-01
atlantico-sur,0,2014-06-01
atlantico-sur,0,2014-07-01
atlantico-sur,0,2014-08-01
atlantico-sur,0,2014-09-01
atlantico-sur,0,2014-10-01
atlantico-sur,0,2014-11-01
atlantico-sur,0,2014-12-01
atlantico-sur,0,2015-01-01
atlantico-sur,0,2015-02-01
atlantico-sur,0,2015-03-01
atlantico-sur,0,2015-04-01
atlantico-sur,0,2015-05-01
atlantico-sur,0,2015-06-01
atlantico-sur,0,2015-07-01
atlantico-sur,0,2015-08-01
atlantico-sur,0,2015-09-01
atlantico-sur,0,2015-10-01
atlantico-sur,155,2015-11-01
atlantico-sur,406,2015-12-01
atlantico-sur,369,2016-01-01
atlantico-sur,331,2016-02-01
atlantico-sur,279,2016-03-01
atlantico-sur,422,2016-04-01
atlantico-sur,387,2016-05-01
atlantico-sur,0,2016-06-01
atlantico-sur,0,2016-07-01
atlantico-sur,0,2016-08-01
atlantico-sur,312,2016-09-01
atlantico-sur,414,2016-10-01
6-mil-millones-de-otros,0,2013-05-01
6-mil-millones-de-otros,0,2013-06-01
